QID,Question_Type,Question,Gold_Answer,Predicted_Answer,MRR,Recall@K,Response_Time
Q0,factual,What was the name of the book that was incorporated into the Bibliotheca Apostolica Vaticana? Answer,"Dorothea Walz, Die historischen und philosophischen Handschriften der Codices Palatini Latini in der",Bibliotheca Palatina,1.0,1,5.23s
Q1,comparative,Who was the first to announce his candidacy? Answer: George Takach,David Merner,Marc Garneau,1.0,1,0.34s
Q4,factual,What is the name of the village that is surrounded by debris and inscribed with Arabic verses from t,Sar'a Tell,Sar'a,1.0,1,0.28s
Q8,factual,What is the name of the plant that causes Panama disease? Answer: Fusarium oxysporum,banana,Fusarium oxysporum,1.0,1,0.51s
Q12,factual,What was the name of the village Sar'a was located on? Answer: Sar'a,What is the name of the village Sar'a is located on?,Sar'a,1.0,1,0.29s
Q14,inferential,What is the name of the region that is featured in numerous films? Answer: Nord-Pas-de-Calais.,"French Revolution, the region was renamed the French Low Countries.",Nord-Pas-de-Calais.,1.0,1,0.64s
Q16,factual,"What was the name of the song that was recorded in Spain? Answer: ""A far l'amore comincia tu""","Do It, Do It Again",Hay que venir al sur,1.0,1,0.53s
Q17,comparative,"What is the name of the fossil site of the Falcón Basin, Venezuela? Answer: Altamirano Sierra, Al J ",br>,Amazon Basin Urumaco,1.0,1,1.01s
Q18,inferential,How long did it take the Indian Polar Satellite Launch Vehicle (PSLV) rocket to launch? Answer: 17 m,"Sriharikota, Andhra Pradesh",17 minutes and 38 seconds.,1.0,1,0.62s
Q19,multi-hop,What is the name of Kim's mother?Options:A Carol.B Kim.C Rebecca.D Rebecca.Answer:A,C,A,1.0,1,0.16s
Q20,factual,What was the name of the movie that Hewitt appeared in?,What was the relationship between Hewitt and Lyn Osborn?,Head of State,1.0,1,0.36s
Q21,comparative,What was the date of the first space station?,1975,"January 15, 1969 (Wednesday) == The Soviet Union launched Soyuz 5, the first Soyuz spacecraft with a",1.0,1,3.13s
Q22,inferential,What is the difference between disco and rock? Answer: disco,disco,disco has a very phallic centered eroticism focusing on the sexual pleasure of men over other person,1.0,1,2.72s
Q23,multi-hop,Which of the following is true about the Pisco Formation? Answer: sharks (most notably megalodon).,are found in the Pisco Basin.,megalodon.,1.0,1,0.32s
Q24,factual,"What is the name of the city in India?, Answer: Kottayam","Dutch school was started at Kottayam, which was short-lived.",Kottayam,1.0,1,0.47s
Q28,factual,What is the name of the genus of sperm whales from the Miocene of Peru? Answer: Koristocetus pescei,"Post, Klaas, De Muizon, Christian, Salas Gismondi, and Lambert, Olivier, Bianucci, Giovanni, Urbina,",Koristocetus pescei,1.0,1,0.51s
Q29,comparative,"What is the population of Ranchos de Taos?, Answer: 2,707","2,707","The population was 2,707 at the time of the 2020 census.",1.0,1,0.81s
Q30,inferential,What was the main difference between the two Buddhists? Answer: The two Buddhists were primarily in ,Mahayanists be more philosophical than the Vaibhika school,The two Buddhists were primarily in philosophical dialectic with the Vaibhika.,1.0,1,0.96s
Q32,factual,"What is the population of Nebikon in the year 2000?, Answer: 2,713.","2,713","1,506",1.0,1,0.24s
Q33,comparative,What was the total number of people stranded at Tsarap River?,0,I don't know,1.0,1,0.60s
Q34,inferential,How many members were there in the Odd Fellows Windmill?,"over 8,000",I don't know,1.0,1,0.57s
Q37,comparative,What is the name of the work that Vaidya did in 1942? Answer: Albert Einstein's theory of gravity.,Vaidya Metric,The Vaidya Metric,1.0,1,0.45s
Q39,multi-hop,What is the function of sleep? _,regulates metabolism,Restorative,1.0,1,0.28s
Q40,factual,What is the name of the UK top-ten singles of 1960? Answer: Bolinhas Amarelas,List of number-one singles from the 1990s,[3],1.0,1,0.25s
Q41,comparative,"What is the name of the book that Morel wrote?, Setif de ma jeunesse,",Setif de ma jeunesse,Setif de ma jeunesse.,1.0,1,0.41s
Q42,inferential,How many airports in Idaho are there?,2,[1],1.0,1,0.23s
Q44,factual,What is the name of the city in Kottayam? Answer: Kottayam.,The current collectorate is Sri. Chetan Kumar Meena,Kottayam.,1.0,1,0.40s
Q45,comparative,Who was the host of the event? (Answer: A).,Eva Longoria,Bebe Rexha,1.0,1,0.35s
Q47,multi-hop,"What is the title of the song ""Dum Da Dum""?, ""Dum Da Dum"" and ""They Came To Rule""",They Came To Rule,Dum Da Dum,1.0,1,0.32s
Q48,factual,What was the name of the department created by the National Assembly? Answer: Nord and Pas-de-Calais,"The Nord department consisted of eight districts: Bergues, Hazebrouck, Lille, Douai, Cambray, Valenc",Nord-Pas-de-Calais,1.0,1,0.66s
Q50,inferential,What is the name of the opera that Giustino is bestowed on? Answer: Giustino.,Giustino,Giustino.,1.0,1,0.35s
Q51,multi-hop,"What is the name of the song that Carrà recorded in Spain? Answer: ""A far l'amore comincia tu""",Far l'Amore,Hay que venir al sur,1.0,1,0.53s
Q52,factual,What year did Thalab become a grammarian? Answer: 815,language,815,1.0,1,0.23s
Q53,comparative,What is the name of the company that acquired R&DE(E)? Answer: R&DE(E),Indian Army,Defence Research & Development Organization,1.0,1,0.57s
Q54,inferential,What is the main reason for a snake to bite humans? Answer: To get a grip on prey.,retaliate by biting,[2],1.0,1,0.26s
Q56,factual,What was the name of the film that Sperandeo was working on? Answer: La Nuova Squadra.,La Squadra,La Nuova Squadra.,1.0,1,0.40s
Q57,comparative,Which countries are ranked 153rd out of 249 countries? Answer: Israel,Total area,Israel,1.0,1,0.24s
Q59,multi-hop,Which of the following is not a settlement in Kaarma Parish? Answer: Abruka,Kaarma,Abruka,1.0,1,0.32s
Q60,factual,What is the name of the city in Kottayam? Answer: Kottayam.,The current collectorate is Sri. Chetan Kumar Meena,Kottayam.,1.0,1,0.41s
Q61,comparative,What is the name of the person who created the Armoured Engineer Reconnaissance Vehicle? Answer: Arm,Indian Army Corps of Engineers,Mapai,1.0,1,0.44s
Q62,inferential,What was the name of the song that was released in 1976? Answer: Love to Love You Baby,Could It Be Magic,"""TSOP (The Sound of Philadelphia)"" by MFSB with vocals by The Three Degrees, a wordless song written",1.0,1,1.66s
Q63,multi-hop,Who was the winner of the race? (A) Charles Dean. (B) Julian Majzub. (C) Bart Rosman.,(A),(C) Bart Rosman.,1.0,1,0.48s
Q65,comparative,"How many teams will play in the first round of the SCEFL Division One Cup?, Answer: 14",14,"Four clubs to compete in two first round ties, with byes for the other 14 clubs.",1.0,1,0.95s
Q66,inferential,Who was the host of the event? (Answer: A).,Eva Longoria,Bebe Rexha,1.0,1,0.36s
Q70,inferential,What is the format of the 2025–26 Southern Counties East Football League season? Answer: Premier Div,two divisions,The 2025–26 Southern Counties East Football League season is the 60th in the history of the Southern,1.0,1,2.90s
Q72,factual,What was the name of the term used in the 1949 Constitution? Answer: Tionghoa,Cina,Tionghoa,1.0,1,0.37s
Q74,inferential,"What was the initial rate of exchange of the Zambian pound?, Kwacha, or 20 shillings or 240 Zambian ","The fastest train in the United States up to that time, Penn Central's Metroliner,","Kwacha, or 20 shillings or 240 Zambian pence.",0.3333333333333333,1,0.97s
Q75,multi-hop,"At the Antibes tournament, Davydova tied for sixth place AA – and won bronze on vault, only 0.025 be",Davydova,"Davydova tied for sixth place AA – and won bronze on vault, only 0.025 behind world vault champion O",1.0,1,2.53s
Q76,factual,"What genre of disco called ""nu-disco"" began breaking into the mainstream? Answer: disco",disco-influenced,disco,1.0,1,0.25s
Q78,inferential,What is the name of Kim's mother? Answer: Carol,Carol,Carol McKerrow,1.0,1,0.35s
Q81,comparative,What is Wu Dajing's full name?,Wu Dajing,Wu Jianqiu,1.0,1,0.46s
Q83,multi-hop,What is the first occupation of Heather Charisse McGhee? _ .Options:A author and nonprofit executive,A author and nonprofit executive,A author and nonprofit executive.,1.0,1,0.37s
Q84,factual,What award did Ivanauskas receive in 2005?,"Ivanauskas, Ivanauskas was able to create a unique and unique style of dance.",Gytis Ivanauskas Theatre (GI Theatre),1.0,1,0.66s
Q85,comparative,What was the name of the person who was born in Drogheda? Answer: Eachmarcach  Catháin,Catháin,Eachmarcach Catháin,1.0,1,0.48s
Q86,inferential,What is the name of the school that is located to the south of the Imperial Citadel of Thăng Long? A,The Imperial Academy,École Amal,1.0,1,0.61s
Q87,multi-hop,Which award was the biggest winner of the night?,Best Hip-Hop,"Best Female, Best Song and Best Pop",1.0,1,0.52s
Q89,comparative,How many electors did the New York State Legislature have?,8,five best-performing elector candidates,1.0,1,0.45s
Q90,inferential,What is the name of the city in Kottayam district? Answer: Kottayam.,The current collectorate is Sri. Chetan Kumar Meena,Kottayam.,1.0,1,0.47s
Q91,multi-hop,Which of the following is not a candidate? _,Bertschi,[1],0.5,1,0.24s
Q92,factual,What was the name of the plant pathologist who praised the scientific works of F.A.Babayev? Answer: ,"— Baku, Azerbaijan: 1977; The use of pesticides in agriculture of Azerbaijan SSR.",Stephen Wilhelm,1.0,1,0.48s
Q93,comparative,What is the name of the Water Lanes? Answer: First Lane.,Kergate,Middle Lane.,1.0,1,0.24s
Q96,factual,What was the name of the plant pathologist who praised the scientific works of F.A.Babayev? Answer: ,"— Baku, Azerbaijan: 1977; The use of pesticides in agriculture of Azerbaijan SSR.",Stephen Wilhelm,1.0,1,0.45s
Q98,inferential,What was the name of the school where Bluma Zeigarnik worked? Answer: Reimann–Dalmatov Gymnasium,University of Lithuania was established,Berlin School of experimental psychology,1.0,1,0.60s
Q99,multi-hop,What is the name of the book that Ave is a member of?,Fereydoun Was Not an Angel: A Conversation with Fereydoun Ave,The Verona Orational,0.5,1,0.57s
