qid,question,gold_answer,gold_url,predicted_answer,mrr_url,exact_match,recall_at_k,time,retrieved_urls
Q1,Who was the first commissioner of the colony?,Gideon Johnston,https://en.wikipedia.org/wiki/Episcopal_Diocese_of_South_Carolina_(1785%E2%80%932012),Joseph F. Bruno,1.0,0,1,0.9647791385650635,"['https://en.wikipedia.org/wiki/Episcopal_Diocese_of_South_Carolina_(1785%E2%80%932012)', 'https://en.wikipedia.org/wiki/Woodstock,_New_Brunswick', 'https://en.wikipedia.org/wiki/Joseph_F._Bruno']"
Q2,What is the name of the stadium that will host the final round of the Individual Speedway European Championship on 21 September 2024? Answer: Silesian Stadium,Silesian Stadium,https://en.wikipedia.org/wiki/Silesian_Stadium,Silesian Stadium,1.0,1,1,0.3521583080291748,"['https://en.wikipedia.org/wiki/Silesian_Stadium', 'https://en.wikipedia.org/wiki/Silesian_Stadium', 'https://en.wikipedia.org/wiki/Silesian_Stadium']"
Q3,Which of the following is true? Answer: The Indian Army received the first three sets of SSBS-10m from Larsen & Toubro in December 2020.,The new system can keep up with both tracked and wheeled mechanized vehicles,https://en.wikipedia.org/wiki/Research_%26_Development_Establishment_(Engineers),The Indian Army received the first three sets of SSBS-10m from Larsen & Toubro in December 2020.,1.0,0,1,1.5994539260864258,"['https://en.wikipedia.org/wiki/Research_%26_Development_Establishment_(Engineers)', 'https://en.wikipedia.org/wiki/Research_%26_Development_Establishment_(Engineers)', 'https://en.wikipedia.org/wiki/Research_%26_Development_Establishment_(Engineers)']"
Q5,What is the dynamic pressure of the vapor mixture? Answer: R T V e o s,P_hmix=P_hmix-P_dynquad textandquad P_hmix=P_heos,https://en.wikipedia.org/wiki/Viscosity_models_for_mixtures,a e o s V e o s 2 + u b e o s V e o s + w b e o s 2,1.0,0,1,2.5813310146331787,"['https://en.wikipedia.org/wiki/Viscosity_models_for_mixtures', 'https://en.wikipedia.org/wiki/Viscosity_models_for_mixtures', 'https://en.wikipedia.org/wiki/Viscosity_models_for_mixtures']"
Q6,What year was Ivanauskas born? Answer: 1 June 1980,"Ivanauskas, Ivanauskas was able to create a unique and unique style of dance.",https://en.wikipedia.org/wiki/Gytis_Ivanauskas,1 June 1980,1.0,0,1,0.2767667770385742,"['https://en.wikipedia.org/wiki/Gytis_Ivanauskas', 'https://en.wikipedia.org/wiki/Gytis_Ivanauskas', 'https://en.wikipedia.org/wiki/Yelena_Davydova']"
Q7,What team did Enayati play for in the 2010 Asian Nations Cup?,Iran,https://en.wikipedia.org/wiki/Reza_Enayati,Iran national football team,1.0,0,1,0.3228170871734619,"['https://en.wikipedia.org/wiki/Reza_Enayati', 'https://en.wikipedia.org/wiki/Reza_Enayati', 'https://en.wikipedia.org/wiki/Reza_Enayati']"
Q9,Which books are the most popular? Answer: Old Man on a Bike.,Old Men Can't Wait.,https://en.wikipedia.org/wiki/Simon_Gandolfi,[2],1.0,0,1,0.23599624633789062,"['https://en.wikipedia.org/wiki/Simon_Gandolfi', 'https://en.wikipedia.org/wiki/Robert_Silverberg_bibliography', 'https://en.wikipedia.org/wiki/Oliver_Bullough']"
Q10,What was the first disco song to reach number one?,"""Rock the Boat""",https://en.wikipedia.org/wiki/Disco,"""Are You Ready for Love""",1.0,0,1,0.4288318157196045,"['https://en.wikipedia.org/wiki/Disco', 'https://en.wikipedia.org/wiki/Disco', 'https://en.wikipedia.org/wiki/Disco']"
Q11,What was the first discotheques?,mostly played swing music,https://en.wikipedia.org/wiki/Disco,"Róisn Murphy's discothèque mixtape, Róisn Murphy's discothèque mixtape, Róisn Murphy's discothèque mixtape, Róisn Murphy's discothèque mixtape",1.0,0,1,2.5658059120178223,"['https://en.wikipedia.org/wiki/Disco', 'https://en.wikipedia.org/wiki/Disco', 'https://en.wikipedia.org/wiki/Disco']"
Q13,What is the name of the book I Have a Name? Answer: I Have a Name,I Have a Name,https://en.wikipedia.org/wiki/I_Have_A_Name_Project,I Have a Name,1.0,1,1,0.46517395973205566,"['https://en.wikipedia.org/wiki/I_Have_A_Name_Project', 'https://en.wikipedia.org/wiki/I_Have_A_Name_Project', 'https://en.wikipedia.org/wiki/I_Have_a_Right']"
